3,29,49,0,0
2,225,81,0,0
1,87,32,0,0
0,277,4,0,0
10,10,0,12
19,310,48,0,1
18,296,18,0,2
17,20,62,0,1
16,107,98,0,1
15,201,29,0,2
14,270,37,0,2
13,230,65,0,1
12,62,77,0,2
11,370,62,0,1
10,217,93,0,1
9,275,45,0,0
8,261,12,0,0
7,347,46,0,0
6,300,92,0,0
5,261,24,0,0
4,152,33,0,0
3,363,54,0,0
2,8,31,0,0
1,285,11,0,0
0,178,97,0,0
10,10,0,13
19,347,82,0,1
18,252,11,0,2
17,196,67,0,2
16,269,46,0,1
15,82,29,0,2
14,283,78,0,2
13,85,20,0,1
12,4,39,0,2
11,381,39,0,1
10,241,71,0,1
9,27,88,0,0
8,157,85,0,0
7,387,59,0,0
6,375,64,0,0
5,279,34,0,0
4,369,65,0,0
3,75,49,0,0
2,377,62,0,0
1,325,99,0,0
0,63,87,0,0
10,10,0,14
19,136,72,0,1
18,197,64,0,2
17,310,18,0,2
16,209,90,0,1
15,140,64,0,2
14,242,70,0,2
13,90,84,0,1
12,185,42,0,2
11,210,14,0,1
10,49,63,0,1
9,24,37,0,0
8,113,46,0,0
7,14,26,0,0
6,316,93,0,0
5,319,47,0,0
4,343,66,0,0
3,152,64,0,0
2,260,75,0,0
1,317,23,0,0
0,64,79,0,0
10,10,0,15
19,295,42,0,1
18,225,91,0,2
17,394,93,0,2
16,195,88,0,1
15,310,51,0,2
14,89,74,0,2
13,193,5,0,2
12,48,48,0,2
11,173,24,0,1
10,220,52,0,1
9,264,1,0,0
8,55,65,0,0
7,127,17,0,0
6,220,11,0,0
5,351,97,0,0
4,348,41,0,0
3,91,67,0,0
2,82,73,0,0
1,364,7,0,0
0,112,50,0,0
10,10,0,16
19,159,55,0,1
18,100,36,0,2
17,306,39,0,2
16,73,57,0,2
15,372,70,0,2
14,74,63,0,2
13,137,70,0,2
12,188,93,0,2
11,81,42,0,1
10,90,53,0,1
9,187,33,0,0
8,127,17,0,0
7,14,87,0,0
6,383,12,0,0
5,254,20,0,0
4,275,41,0,0
3,260,82,0,0
2,47,1,0,0
1,307,54,0,0
0,200,93,0,0
10,10,0,17
19,396,64,0,1
18,163,85,0,2
17,187,27,0,2
16,215,65,0,2
15,32,91,0,2
14,232,17,0,2
13,225,16,0,2
12,78,42,0,2
11,124,72,0,1
10,110,1,0,1
9,54,69,0,0
8,110,52,0,0
7,240,72,0,0
6,221,65,0,0
5,283,44,0,0
4,23,64,0,0
3,19,39,0,0
2,13,45,0,0
1,62,72,0,0
0,126,4,0,0
10,10,0,18
19,351,65,0,2
18,312,81,0,2
17,371,42,0,2
16,179,7,0,2
15,107,4,0,2
14,374,13,0,2
13,173,88,0,2
12,104,48,0,2
11,297,1,0,1
10,114,6,0,1
9,280,81,0,0
8,285,45,0,0
7,5,8,0,0
6,157,6,0,0
5,297,38,0,0
4,279,16,0,0
3,355,77,0,0
2,95,0,0,0
1,277,3,0,0
0,356,45,0,0
10,10,0,19
19,176,76,0,2
18,149,67,0,2
17,61,92,0,2
16,241,41,0,2
15,200,57,0,2
14,190,65,0,2
13,181,50,0,2
12,337,2,0,2
11,200,35,0,1
10,17,62,0,2
9,28,5,0,0
8,202,58,0,0
7,314,36,0,0
6,157,86,0,0
5,15,96,0,0
4,329,71,0,0
3,116,41,0,0
2,398,76,0,0
1,320,12,0,0
0,58,6,0,0
10,10,0,20
19,265,24,0,2
18,231,20,0,2
17,335,12,0,2
16,43,64,0,2
15,31,26,0,2
14,68,24,0,2
13,389,69,0,2
12,308,5,0,2
11,145,16,0,2
10,121,54,0,2
